12289096,1736215140,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61595,0.4638,-372.18
12289096,1736224920,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61595,0.4638,-372.18
12289098,1736215320,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61597,0.4638,-372.22
12289099,1736215200,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61598,0.4638,-372.21
12289099,1736224980,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61598,0.4638,-372.21
12289101,1736215380,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61600,0.4638,-372.19
12289102,1736225100,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61601,0.4639,-372.18
12289102,1736215260,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61601,0.4639,-372.18
12289104,1736215440,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61603,0.4638,-372.22
12289105,1736225160,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61604,0.4638,-372.21
12289105,1736215320,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61604,0.4638,-372.21
12289107,1736215500,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61606,0.4638,-372.22
12289108,1736225280,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61607,0.4639,-372.21
12289108,1736215380,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61607,0.4639,-372.21
12289110,1736215560,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61609,0.4639,-372.19
12289111,1736225520,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61610,0.4639,-372.21
12289111,1736215440,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61610,0.4639,-372.21
12289112,1736215680,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61612,0.4639,-372.22
12289113,1736225580,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61613,0.4639,-372.24
12289113,1736215500,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61613,0.4639,-372.24
12289115,1736215740,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61615,0.4639,-372.25
12289116,1736225700,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61616,0.4639,-372.27
12289116,1736215560,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61616,0.4639,-372.27
12289118,1736215800,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61618,0.4639,-372.28
12289119,1736215680,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61619,0.4639,-372.27
12289119,1736225760,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61619,0.4639,-372.27
12289119,1736215860,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61621,0.4639,-372.28
12289121,1736225820,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61622,0.4639,-372.30
12289121,1736215740,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61622,0.4639,-372.30
12289121,1736215920,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61624,0.4639,-372.31
12289124,1736225880,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61625,0.4639,-372.33
12289124,1736215800,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61625,0.4639,-372.33
12289124,1736215980,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61627,0.4639,-372.31
12289127,1736215860,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61628,0.4639,-372.33
12289127,1736225940,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61628,0.4639,-372.33
12289127,1736216040,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61630,0.4639,-372.34
12289130,1736226000,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61631,0.4639,-372.33
12289130,1736215920,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61631,0.4639,-372.33
12289132,1736216100,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61633,0.4639,-372.34
12289133,1736226120,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61634,0.4639,-372.36
12289133,1736215980,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61634,0.4639,-372.36
12289135,1736216160,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61636,0.4638,-372.40
12289136,1736226180,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61637,0.4638,-372.42
12289136,1736216040,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61637,0.4638,-372.42
12289138,1736216220,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61639,0.4638,-372.43
12289139,1736216100,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61640,0.4638,-372.45
12289139,1736226240,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61640,0.4638,-372.45
12289141,1736216340,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61642,0.4638,-372.49
12289142,1736216160,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61643,0.4638,-372.48
12289142,1736226300,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61643,0.4638,-372.48
12289144,1736216400,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61645,0.4638,-372.49
12289145,1736226360,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61646,0.4638,-372.48
12289145,1736216220,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61646,0.4638,-372.48
12289147,1736216460,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61648,0.4638,-372.52
12289147,1736226480,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61649,0.4638,-372.51
12289147,1736216340,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61649,0.4638,-372.51
12289150,1736216580,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61651,0.4638,-372.52
12289151,1736216400,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61652,0.4638,-372.51
12289151,1736226540,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61652,0.4638,-372.51
12289153,1736216640,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61654,0.4639,-372.49
12289154,1736226600,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61655,0.4639,-372.51
12289154,1736216460,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61655,0.4639,-372.51
12289156,1736216700,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61657,0.4639,-372.49
12289157,1736216580,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61658,0.4639,-372.51
12289157,1736226660,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61658,0.4639,-372.51
12289159,1736216760,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61660,0.4639,-372.49
12289160,1736216640,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61661,0.4639,-372.48
12289160,1736226720,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61661,0.4639,-372.48
12289162,1736216820,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61663,0.4639,-372.49
12289163,1736226780,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61664,0.4639,-372.51
12289163,1736216700,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61664,0.4639,-372.51
12289165,1736216940,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61666,0.4639,-372.52
12289165,1736226840,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61667,0.4639,-372.51
12289166,1736216760,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61668,0.4639,-372.53
12289168,1736226900,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61669,0.4639,-372.52
12289168,1736217060,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61669,0.4639,-372.52
12289170,1736216820,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61671,0.4639,-372.56
12289170,1736226960,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61672,0.4639,-372.58
12289170,1736217120,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61673,0.4639,-372.60
12289173,1736216940,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61674,0.4639,-372.59
12289173,1736227140,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61675,0.4639,-372.58
12289175,1736217180,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61676,0.4639,-372.60
12289175,1736227260,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61677,0.4639,-372.59
12289176,1736217060,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61678,0.4639,-372.61
12289177,1736217240,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61679,0.4639,-372.63
12289179,1736227320,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61680,0.4639,-372.65
12289179,1736217120,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61681,0.4639,-372.67
12289180,1736217360,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61682,0.4639,-372.66
12289182,1736227440,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61683,0.4639,-372.65
12289182,1736217180,BTC,323,114587,0.9967,0.5000,102205.0000,-nan,0.0000,61684,0.4639,-372.67
